user_tag	1	2	3	4	5	6	7	8	9	10	11	12
D0962	40.0	37.0	41.0	108.0	148.0	85.0	109.0	85.0	46.0	17.0	82.0	58.0
D0963	28.0	28.0	33.0	24.0	22.0	2.0	5.0	8.0	57.0	48.0	45.0	26.0
D0964	30.0	28.0	33.0	24.0	19.0	32.0	21.0	36.0	35.0	25.0	28.0	27.0
D0277	65.0	54.0	71.0	58.0	57.0	60.0	34.0	40.0	27.0	36.0	40.0	70.0
D0967	5.0	5.0	8.0	26.0	14.0	18.0	14.0	17.0	17.0	5.0	2.0	1.0
D0283	49.0	35.0	32.0	36.0	17.0	23.0	35.0	38.0	50.0	52.0	64.0	43.0
D0985	61.0	32.0	32.0	24.0	26.0	46.0	55.0	90.0	48.0	39.0	36.0	65.0
D0997	16.0	18.0	20.0	18.0	20.0	53.0	54.0	37.0	16.0	26.0	63.0	29.0
D0999	37.0	38.0	42.0	38.0	30.0	24.0	46.0	23.0	23.0	20.0	28.0	21.0
D1027			27.0	74.0	61.0	40.0	67.0	125.0	42.0			
D1046	46.0	48.0	43.0	40.0	45.0	29.0	51.0	64.0	23.0	68.0	58.0	55.0
D1052	87.0	53.0	71.0	44.0	44.0	63.0	77.0	40.0	28.0	18.0	18.0	60.0
D1109				37.0	76.0	64.0	63.0	57.0	20.0			
D1114	31.0	32.0	40.0	29.0	39.0	110.0	112.0	116.0	69.0	34.0	26.0	25.0
D0355	73.0	70.0	86.0	60.0	53.0	33.0	18.0	31.0	26.0	31.0	70.0	32.0
D1134	37.0	11.0	9.0	8.0	30.0	1.0	0.0	4.0	1.0	58.0	127.0	127.0
D1143	30.0	46.0	34.0	26.0	47.0	53.0	53.0	72.0	60.0	51.0	40.0	38.0
D1161		4.0	40.0	125.0	114.0	96.0	102.0	100.0	71.0			
D0381	82.0	68.0	28.0	38.0	50.0	63.0	77.0	45.0	23.0	56.0	118.0	171.0
D0399	42.0	24.0	25.0	24.0	14.0				4.0	40.0	46.0	24.0
D0412	38.0	31.0	11.0	107.0	66.0	1.0	4.0	4.0	6.0	3.0	4.0	2.0
D1188	45.0	40.0	42.0	54.0	65.0	60.0	44.0	40.0	59.0	40.0	85.0	48.0
D1199	28.0	25.0	49.0	40.0	23.0	31.0	19.0	26.0	27.0	23.0	7.0	24.0
D1200	18.0	24.0	19.0	12.0	28.0	33.0	18.0	7.0	3.0	16.0	28.0	17.0
D0441			3.0	6.0	6.0	6.0	8.0	6.0	4.0			
D0451	28.0	19.0	34.0	35.0	30.0	67.0	82.0	83.0	67.0	44.0	24.0	27.0
D0006	46.0	15.0	27.0	42.0	73.0	53.0	19.0	42.0	36.0	31.0	28.0	33.0
D0456	50.0	39.0	55.0	58.0	78.0	63.0	90.0	59.0	43.0	53.0	59.0	67.0
D0458	111.0	39.0	46.0	29.0	55.0	32.0	40.0	50.0	16.0	96.0	60.0	114.0
D0461	48.0	53.0	57.0	42.0	56.0	75.0	77.0	80.0	89.0	44.0	52.0	21.0
D0462	10.0	3.0	3.0	22.0	30.0	6.0	11.0	14.0	8.0	8.0	26.0	5.0
D0463	38.0	159.0	29.0	45.0	11.0	18.0	26.0	9.0	16.0	4.0	3.0	21.0
D0466	18.0	9.0	19.0	26.0	64.0	28.0	73.0	49.0	6.0	84.0	71.0	68.0
