user_tag	1	2	3	4	5	6	7	8	9	10	11	12
D0921	59.0	105.0	113.0	116.0	156.0	104.0	76.0	79.0	53.0	54.0	175.0	93.0
D0248		880.0	1272.0	428.0	242.0							
D0249	278.0	251.0	206.0	342.0	328.0				63.0	316.0	309.0	354.0
D0251	47.0	270.0	134.0	141.0	152.0	47.0	86.0	134.0	412.0	277.0	315.0	76.0
D0253	109.0	157.0	90.0	182.0	257.0	207.0	164.0	331.0	157.0	136.0	194.0	201.0
D0255	211.0	1069.0	1006.0	542.0	113.0							
D0933	135.0	96.0	141.0	90.0	79.0	196.0	362.0	369.0	183.0	220.0	235.0	226.0
D0259	57.0	38.0	60.0	51.0	53.0							33.0
D0939	99.0	111.0	153.0	120.0	155.0	88.0	126.0	234.0	178.0	102.0	98.0	73.0
D0264	294.0	131.0	202.0	120.0	303.0	168.0	261.0	123.0	157.0	132.0	206.0	249.0
D0949	36.0	43.0	102.0	48.0	107.0	114.0	66.0	35.0	44.0	46.0	61.0	44.0
D0961	348.0	252.0	295.0	212.0	212.0	170.0	134.0	287.0	69.0			146.0
D0962	98.0	94.0	126.0	273.0	385.0	247.0	290.0	256.0	151.0	72.0	238.0	181.0
D0963	64.0	87.0	104.0	52.0	62.0	3.0	16.0	24.0	161.0	138.0	118.0	88.0
D0964	124.0	133.0	168.0	110.0	135.0	163.0	163.0	180.0	121.0	103.0	141.0	111.0
D0277	319.0	228.0	299.0	231.0	257.0	263.0	160.0	187.0	170.0	154.0	168.0	319.0
D0967	16.0	22.0	49.0	61.0	47.0	50.0	65.0	72.0	62.0	18.0	24.0	7.0
D0283	211.0	146.0	170.0	196.0	116.0	97.0	205.0	197.0	296.0	224.0	281.0	255.0
D0985	207.0	102.0	127.0	99.0	118.0	162.0	195.0	350.0	235.0	146.0	146.0	198.0
D0997	63.0	64.0	111.0	69.0	92.0	263.0	240.0	120.0	61.0	97.0	203.0	93.0
D0999	212.0	247.0	280.0	360.0	131.0	159.0	238.0	146.0	141.0	157.0	147.0	160.0
D1027			87.0	261.0	237.0	157.0	283.0	460.0	162.0			
D1046	187.0	167.0	197.0	182.0	167.0	127.0	169.0	208.0	89.0	267.0	205.0	219.0
D1052	297.0	187.0	238.0	138.0	134.0	219.0	257.0	190.0	99.0	62.0	54.0	212.0
D1109				211.0	300.0	308.0	394.0	341.0	128.0			
D1114	145.0	118.0	122.0	85.0	116.0	354.0	472.0	420.0	267.0	172.0	114.0	108.0
D0355	297.0	304.0	348.0	267.0	242.0	151.0	89.0	111.0	126.0	155.0	194.0	105.0
D1134	193.0	47.0	53.0	46.0	80.0	5.0	2.0	11.0	1.0	253.0	500.0	593.0
D1143	228.0	216.0	184.0	148.0	270.0	297.0	311.0	399.0	274.0	352.0	212.0	194.0
D1161		14.0	170.0	384.0	348.0	337.0	340.0	290.0	225.0			
D0381	290.0	205.0	100.0	97.0	158.0	211.0	306.0	185.0	96.0	203.0	388.0	502.0
D0399	141.0	133.0	84.0	115.0	83.0				19.0	220.0	220.0	113.0
D0412	124.0	79.0	35.0	437.0	304.0	14.0	16.0	13.0	19.0	13.0	27.0	10.0
D1188	148.0	155.0	143.0	192.0	195.0	174.0	166.0	148.0	201.0	136.0	265.0	180.0
D1199	124.0	159.0	247.0	210.0	249.0	237.0	172.0	126.0	117.0	148.0	71.0	131.0
D1200	109.0	102.0	91.0	59.0	112.0	166.0	70.0	42.0	18.0	72.0	104.0	94.0
D0441			20.0	38.0	32.0	39.0	32.0	37.0	11.0			
D0451	61.0	62.0	119.0	110.0	83.0	243.0	247.0	269.0	223.0	149.0	72.0	77.0
D0006	170.0	57.0	90.0	133.0	217.0	247.0	82.0	190.0	171.0	139.0	125.0	114.0
D0456	153.0	127.0	138.0	169.0	275.0	248.0	307.0	210.0	200.0	229.0	220.0	211.0
D0458	369.0	114.0	163.0	107.0	137.0	108.0	147.0	157.0	48.0	393.0	254.0	397.0
D0461	192.0	219.0	230.0	154.0	201.0	293.0	312.0	299.0	308.0	176.0	177.0	102.0
D0462	32.0	10.0	20.0	56.0	103.0	38.0	38.0	50.0	43.0	20.0	109.0	16.0
D0463	351.0	1384.0	167.0	240.0	66.0	76.0	87.0	52.0	114.0	36.0	33.0	116.0
D0466	61.0	21.0	61.0	100.0	169.0	95.0	256.0	184.0	42.0	325.0	228.0	202.0
D0468	422.0	130.0	180.0	94.0	169.0	112.0	96.0	33.0	69.0	172.0	128.0	313.0
