	gender	gender	age	age	age	age	org	org
	male	female	<=18	19-29	30-39	>=40	non-org	is-org
user_id								
D0630	0.0052	0.9948	0.0004	0.0118	0.986	0.0018	1.0	0.0
D1111	0.9961	0.0039	0.0002	0.0001	0.0001	0.9996	1.0	0.0
D0633	0.0156	0.9844	0.1301	0.8668	0.0009	0.0022	1.0	0.0
D0691	0.0064	0.9936	0.1019	0.6204	0.1694	0.1083	0.9999	0.0001
D0669	0.0008	0.9992	0.0085	0.1217	0.8639	0.0059	1.0	0.0
D0519	0.9997	0.0003	0.0067	0.0433	0.2248	0.7251	0.9978	0.0022
D0717	0.4279	0.5721	0.8187	0.1637	0.0067	0.0109	0.9997	0.0003
D0747	0.9690000000000001	0.031	0.2808	0.6682	0.0395	0.0115	1.0	0.0
D1026	0.1013	0.8987	0.4287	0.5328	0.0297	0.0088	1.0	0.0
D0487	0.9999	0.0001	0.0006	0.1605	0.7519	0.0871	1.0	0.0
D0666	0.0763	0.9237	0.1523	0.8096	0.0289	0.0092	1.0	0.0
D1059	0.0322	0.9678	0.3739	0.5381	0.0867	0.0013	1.0	0.0
D0749	0.0059	0.9941	0.1256	0.3904	0.4168	0.0672	0.9995	0.0005
D1033	0.5081	0.4919	0.9109999999999999	0.0875	0.0009	0.0006	0.9996	0.0004
D0773	0.0073	0.9927	0.5075	0.4732	0.0045	0.0148	1.0	0.0
D0834	0.4031	0.5969	0.3187	0.6096	0.0537	0.0181	0.9859	0.0141
D1146	0.9073	0.0927	0.4014	0.5597	0.0144	0.0245	1.0	0.0
D0526	0.0082	0.9918	0.0011	0.0299	0.9589	0.0101	0.9999	0.0001
D0712	0.0077	0.9923	0.0655	0.9323	0.0013	0.0009	1.0	0.0
D0725	0.0614	0.9386	0.1752	0.6269	0.1831	0.0148	1.0	0.0
D0369	0.0136	0.9864	0.1612	0.7526	0.0659	0.0203	0.9999	0.0001
D0772	0.0647	0.9353	0.1932	0.7507	0.0518	0.0043	1.0	0.0
D0582	0.997	0.003	0.385	0.1362	0.1377	0.3411	0.6303	0.3697
D0799	0.0595	0.9405	0.7103	0.2886	0.0006	0.0005	1.0	0.0
D0830	0.0071	0.9929	0.0012	0.9871	0.0089	0.0028	1.0	0.0
D0977	0.3882	0.6118	0.4069	0.4814	0.0635	0.0482	1.0	0.0
D0992	0.3401	0.6599	0.0068	0.0502	0.2033	0.7396	0.0165	0.9835
D0609	0.977	0.023	0.7676	0.1878	0.0095	0.0352	0.9999	0.0001
D1046	0.9963	0.0037	0.0351	0.12	0.125	0.7199	1.0	0.0
D0911	0.1567	0.8433	0.5274	0.3829	0.0793	0.0104	0.9999	0.0001
D0635	0.0375	0.9625	0.3776	0.6214	0.0003	0.0007	1.0	0.0
D0023	0.237	0.763	0.0928	0.9023	0.0008	0.0041	1.0	0.0
D0654	0.0223	0.9777	0.8386	0.1137	0.0402	0.0076	1.0	0.0
D0971	0.9993	0.0007	0.0003	0.0002	0.0007	0.9987	0.9822	0.0178
