num_runs	$D$	$R$
426	1486174	6925682
427	1489993	6892348
428	1510445	6822706
429	1507229	6738075
430	1475125	6787336
431	1459730	6921417
432	1559942	6735437
433	1499708	6851359
434	1456049	6845661
435	1488329	6796197
436	1493476	6973377
437	1538697	6730080
438	1454974	6801151
439	1508387	6798919
440	1479666	6706409
441	1524029	6831686
442	1516788	6833603
443	1514021	6718460
444	1513647	6725549
445	1532906	6597361
446	1541206	6694557
447	1495102	6858909
448	1487127	6828933
449	1527061	6707922
450	1491781	6688047
451	1475201	6743995
452	1531362	6867902
453	1515326	6794121
454	1510189	6707315
455	1494295	6750402
456	1462281	6748851
457	1504264	6765909
458	1520345	6740289
459	1518983	6739889
460	1529676	6773539
461	1502390	6731991
462	1483825	6818368
463	1494005	6567173
464	1535154	6796609
465	1504764	6913237
466	1509238	6727195
467	1433421	6788084
468	1534763	6707699
469	1515479	6791391
470	1559565	6679620
471	1527149	6830973
472	1510135	6921901
473	1535569	6657657
474	1539191	6791824
475	1524545	6807236
476	1527599	6858077
477	1538813	6895541
478	1491508	6818938
479	1520485	6775442
480	1487506	6765638
481	1531095	6856857
482	1500063	6677853
483	1448548	6791208
484	1527930	6730687
485	1494934	6766155
486	1467201	6778310
487	1487168	6768365
488	1536305	6810893
489	1498553	6836002
490	1492254	6747803
491	1511156	6724457
492	1484966	6762926
493	1551845	6729803
494	1545519	6843771
495	1481202	6895961
496	1469959	6725314
497	1470122	6939323
498	1550157	6736895
499	1465769	6893105
500	1506405	6763714
501	1499628	6693296
502	1512221	6728611
503	1520848	6727754
504	1506589	6818852
505	1548912	6885420
506	1514098	6811347
507	1498031	6798206
508	1533119	6761359
509	1484535	6713832
510	1576340	6726858
511	1527765	6763528
512	1551131	6679691
513	1514956	6731299
514	1501207	6917404
515	1496262	6646307
516	1486065	6776374
517	1515069	6735274
518	1468461	6652212
519	1531471	6834113
520	1494971	6860285
521	1510939	6828766
522	1516467	6862432
523	1508044	6760057
524	1506080	6824623
525	1498671	6743719
526	1493628	6623858
527	1480396	6821272
528	1508272	6720407
529	1554724	6824031
530	1541118	6606676
531	1522070	6934493
532	1511230	6719356
533	1585857	6854046
534	1553470	6883796
535	1501453	6767060
536	1515439	6781671
537	1546876	6691867
538	1508422	6642741
539	1517935	6858468
540	1528701	6666656
541	1494089	6815661
542	1530293	6908400
543	1500777	6783552
544	1465411	6810349
545	1488481	6736515
546	1488706	6722357
547	1560318	6761203
548	1505593	6883595
549	1544684	6732138
550	1515470	6754094
551	1523604	6953805
552	1500582	6665835
553	1528367	6639227
554	1504008	6750039
555	1563157	6769229
556	1485579	6794180
557	1523859	6799457
558	1550797	6825416
559	1510878	6849469
560	1494824	6846529
561	1526595	6530047
562	1532590	6879794
563	1482002	6718683
564	1585490	6862260
565	1537655	6833431
566	1555124	6846343
567	1452502	6917452
568	1481396	6861829
569	1494790	6994229
570	1487374	6681187
571	1486543	6791976
572	1506946	6720038
573	1526185	6683537
574	1480830	6684590
575	1493399	6666665
576	1510038	6790845
577	1553756	6802015
578	1513012	6882866
579	1516112	6645670
580	1465773	6779723
581	1456004	6727154
582	1535300	6938565
583	1556771	6776278
584	1500313	6791822
585	1522705	6883230
586	1509179	6740121
587	1494986	6650895
588	1483637	6797105
589	1537217	6706680
590	1487394	6857817
591	1471361	6849060
592	1531357	6809752
593	1534587	6730617
594	1542912	6739025
595	1508703	6718004
596	1497182	6808574
597	1523943	6836900
598	1495295	6797854
599	1478042	6878244
600	1510385	6769965
601	1469827	6752826
602	1501546	6730747
603	1489876	6706599
604	1501021	6806155
605	1510935	6760889
606	1481382	6817313
607	1505177	6776242
608	1536370	6713446
609	1554291	6812687
610	1470757	6723118
611	1528715	6779289
612	1527798	6776755
613	1464519	6837520
614	1518289	6686345
615	1468788	6844717
616	1474159	6716280
617	1487944	6897636
618	1470933	6882442
619	1488436	6775855
620	1535255	6835834
621	1451202	6739324
622	1502300	6688223
