num_runs	Labeling and mislabeling	Catastrophizing	Dichotomous Reasoning	Emotional Reasoning	Disqualifying the Positive	Magnification and Minimization	Mental Filtering	Mindreading	Fortune-telling	Overgeneralizing	Personalizing	Should statements
23	1.1081384798546554	0.8048871691272541	1.1159501232956621	1.8390960008708528	1.14695623955119	1.1106524160026217	1.1575707863826377	0.9952264151563872	1.1275222208104116	1.356711573188477	1.9393226686258807	1.0065514927035097
24	1.1096307533231764	1.034302030293256	1.1000832518071757	1.8381965091625554	1.1282259077743204	1.0613120100204314	1.1665496792665953	0.9993644184092983	1.090270500905835	1.3129351978755806	1.9687934792058743	1.034914047634675
25	1.1487486584685591	0.8493864244319508	1.1140768559124525	1.6596461420639157	1.131975850497299	1.1379045929017029	1.1831432384699834	1.0617727713532084	1.1820586929980375	1.318806150733955	1.9419726317046044	1.0372905645226937
26	1.1041037974409742	0.9060629349149689	1.0953816792389688	1.998996989448505	1.1119366828842283	1.0993319352357058	1.1689882254419117	0.99115186604189	1.1771553822672665	1.3085904939075461	1.8642697904540195	1.0372043878654105
27	1.1479095440452185	0.7943597240203452	1.100345148454761	1.910110689854066	1.1609453740070574	1.104775072279646	1.0115426784828496	1.0287651681018122	1.1242304350719958	1.27654463975381	1.9474474483878308	1.0502408725559185
28	1.1424087083347372	0.947635207495797	1.1268320073935916	1.8860073308494834	1.2519710579836123	1.1079808169576948	1.1059426880284893	0.9829057227445438	1.1494545827298226	1.3817089804090967	1.999313724533171	1.045710474720836
29	1.1752167399925955	0.8533603883100399	1.117470960186878	1.808196416921861	1.2091196503934458	1.1278940553154964	1.2955179107365387	1.0402780676116385	1.1218070948822623	1.3817565549750548	1.9662057018763075	1.0500969411409915
30	1.1001207727053532	0.9140227478599738	1.0903558317907502	1.7541464215790135	1.1059521716396299	1.0942582419420035	1.0886895374868746	0.9844686384757477	1.127061344909011	1.311442742694414	1.889083843784048	1.0068514011088703
31	1.1520209408355857	0.9904749103335301	1.12009296591306	1.8147424449929734	1.1696744736092806	1.1312229803411284	1.0750518554722426	1.028090791673398	1.1300904303027222	1.2813767937493892	1.9596934273289686	1.048895340630553
32	1.1384491294697536	0.8436316137536529	1.1170555295901725	2.0083959222515024	1.1683436832194636	1.1761062149900012	1.01554642919382	1.0152334939212548	1.1318224109036723	1.2968732901427937	2.0198107958940157	1.0592282194943583
33	1.1503783689778175	0.8239917471901965	1.0997343492324332	1.8396071534283525	1.1441258369304745	1.1150347911348562	1.1042244468100235	1.0195772107483447	1.0890397517689272	1.3354184417733883	1.9778051571331507	1.0256896164823777
34	1.1065858899241807	0.8635097173290947	1.0973394701921382	1.792287161059761	1.1309437643475484	1.0867148618497489	1.1081291196407654	0.9874017330738425	1.1351780799631435	1.319450794942794	1.9683701011472243	1.0297593014606061
35	1.1383326448625801	0.8133162112694248	1.0829587608983455	1.6471315889277167	1.1665825265308274	1.0846063501036407	0.9672307963676031	0.960757528369777	1.1315494753626887	1.3267583216136973	1.9822621209018476	1.0435332766592096
36	1.1170836115010618	0.7613406987338188	1.108525282793336	1.6224472963689958	1.103441386338827	1.0686511840858535	1.0931240242758864	1.0244288660638143	1.1498537346853153	1.3578208120789896	1.87103990711563	1.0602461019694975
37	1.125698578184903	0.8914875826180867	1.1125162821239354	1.7747664019534115	1.127738000142678	1.0933790632328775	1.0665140564314928	1.038876189572114	1.1887688675371917	1.3336523225362151	1.8682418742135083	1.0380295129141233
38	1.131814548446033	0.6951716840593101	1.080120181229092	1.5249262375771084	1.154636804956316	1.051543990234087	1.150118360135995	1.0045265104444414	1.1580579501748343	1.2770008023292283	2.0193203501685835	1.0475152392071838
39	1.1416877636191576	0.8831272981895787	1.118804655628971	1.8042282261638967	1.1123453824733316	1.09877486074414	1.1393894805711045	1.022920896398955	1.1325977103662843	1.3946768259236293	1.990611916944993	1.05656963779681
40	1.1419093247620637	0.7696498113991062	1.102116559837011	1.8822621936646553	1.2033296358777954	1.1122965625472006	1.1211096932770803	0.9947697696927154	1.1359655203263166	1.3172189638745637	1.9762755831230931	1.0444612794813575
41	1.1339520329046235	0.8053876002945871	1.091713231626709	1.813210527210238	1.0703348687062604	1.074367145024954	0.9425248296061639	0.9414663391483147	1.1047817990481275	1.3348420464088526	1.9767209844663591	1.032301033936084
42	1.1486131028069297	0.8587688720507474	1.1012708139596983	1.833846686899809	1.1779487061957925	1.0594104079373141	1.1137586495770895	1.020905746461335	1.1634909187854643	1.3908821846241817	1.9218377986561905	1.0401484369754987
43	1.1266461951096303	0.7471846555358704	1.1029943074565822	1.7130062167231976	1.1246744493966125	1.0999621419603727	1.1757759379716393	0.9944364376273856	1.1664792915134548	1.3890631072677369	1.85363941634443	1.0341134718677065
44	1.099944723004834	0.8481124701687883	1.1093943891840863	1.7847243593630697	1.1057343263498836	1.0904646220731626	1.1110965386247698	1.0085537471857955	1.0863587547324831	1.3530721632163614	1.914781533271669	1.0360093949527023
45	1.0999872478493367	0.7131015661262753	1.1062147179255482	1.758038731811113	1.1315357802661854	1.1216594869027896	1.1793745867619716	1.042560204626005	1.1436617592802947	1.304796081141537	2.0039511189363184	1.0283753683184265
46	1.1251566160291766	0.9685755039094728	1.0996468498659482	1.7490963360985579	1.050596509812308	1.1010581403299549	0.9905135900860196	1.0016040916781856	1.1445460335449684	1.3571804419758176	2.025436403981926	1.0501940547537707
47	1.1047851955407886	0.8444932115883296	1.0929526873188178	1.724637851634214	1.057073451141184	1.061368069251457	1.2551895450986374	0.9508919298056183	1.1015176957782982	1.32638019730236	1.8775941111808032	1.0319734174914947
48	1.148183206726142	0.7438328320348682	1.124537976931909	1.7441166315707832	1.1992808763212717	1.0754182562957801	1.1249310850828078	1.046459052112163	1.1456098037441678	1.3322353302442838	2.031256886485696	1.0453909728009338
49	1.1651440461085545	0.9172336186375141	1.1291617185126197	1.73012323836317	1.151520440734493	1.0872266285723353	1.1866530050782353	1.0764217132297533	1.1452417946964752	1.3773401211026612	1.8826941570238858	1.0698212304989652
50	1.1401077052757114	0.9198395768380048	1.0935910235703281	1.7476435941566757	1.192174844923575	1.0691006511770094	1.0539306323171145	1.0004982592880844	1.1462263596803812	1.3572124405642927	1.872719380334474	1.0353493000187224
51	1.1278362487492768	0.9431771824270784	1.105349245896167	1.9164100567899358	1.0776753831666108	1.1288853525820084	1.1901749195315128	0.9834423812280781	1.1870595800358887	1.3252533461237808	1.9435386107327954	1.0405147873228722
52	1.168199864598776	0.8722924659000166	1.1078476378874296	1.6461161097435808	1.1456051184889717	1.12427665290176	1.1713840100671777	1.0667214049285931	1.1981092131044693	1.3559861613891901	1.841152245459776	1.0782400484959094
