num_runs	Labeling and mislabeling	Catastrophizing	Dichotomous Reasoning	Emotional Reasoning	Disqualifying the Positive	Magnification and Minimization	Mental Filtering	Mindreading	Fortune-telling	Overgeneralizing	Personalizing	Should statements
12	1.1970208933277562	0.9910266780141725	1.1230876015332076	1.9039281761472635	1.203118699505884	1.0420734248581498	1.417214194481086	1.0602447965325243	1.0993756949442037	1.4030726710975856	2.022835308629611	1.0603683160790192
13	1.212389105935578	0.9775354958258642	1.1345259981292335	2.124438097356385	1.2333404622583848	1.1135677712301177	1.310067260548699	1.0672823421168889	1.2435993124137554	1.4502865837419867	1.9460620599995242	1.0816159547028734
14	1.2234766565937978	1.1230609134103955	1.1446350203342537	2.1758173609350058	1.2714593274650061	1.1148485371543209	1.2214285177575268	1.0551378373153346	1.2147984978195405	1.4261161862881848	2.117438206418088	1.0779431597267808
15	1.2105501036337794	0.8917614290480391	1.1197476917736522	1.9361342662127208	1.1811696744642923	1.0654671219165337	1.4058049174973846	1.0749465911347982	1.1147854053830157	1.3700173902010937	1.9568367848477706	1.0818855583112614
16	1.2381402383836022	0.9884428301861677	1.1652036173738276	1.9307035883606265	1.2484039605980488	1.1001387728444205	1.3500258856112546	1.0439768202338753	1.0495385465081148	1.5000653365886276	2.075015950720303	1.0663446645652594
17	1.2180581012066933	0.9147598156617063	1.1341754193029738	2.0031500369664497	1.2536435852811312	1.1204748242178044	1.4046616458435754	1.1024974070902962	1.159588110161306	1.4710060551670667	1.947317182929014	1.0683372004991822
18	1.2187522990844213	0.998691737781919	1.120661287114992	2.0575843310473623	1.2745076651572407	1.0573258184392067	1.376077888207204	1.0550556323004565	1.011718732966291	1.4311363847629728	2.1174826801539797	1.0613390572388652
19	1.2377031605793833	0.9313851515250826	1.134701502503407	1.84018054335804	1.240210440393573	1.0658455930690176	1.2191690439132403	1.1193090633983092	1.1432788630764539	1.443544701758942	2.0751056902757035	1.0469352205789562
20	1.167479527522976	0.9485522319201082	1.1110077416946895	1.7779028792717144	1.2060697725560794	1.0805560382647472	1.3178870678237642	1.0617344811924914	1.0456707038623052	1.429333259313116	2.0791745286639753	1.040135931492298
21	1.175952405369507	0.846112672777932	1.102176937839516	2.0069664222888535	1.1708819215797641	1.0462236920855212	1.3015460957566931	0.9926962846867479	0.9548582183731097	1.4159047127768658	2.0041066234748226	1.0299614287875432
22	1.2264643454830448	0.9452814405275415	1.1289690969138126	1.8104937601629854	1.2584365809354692	1.0752135584590523	1.0918183373037702	1.0525657707848208	1.1418324375697118	1.3892612791673926	2.0871087120602865	1.0677246957056095
23	1.1644843876902689	0.8337458020176797	1.1466260287585066	2.000078757238923	1.2437739904255753	1.1133396360725347	1.3087065959926167	1.0536142567634252	1.1512717723420103	1.4271810581000763	2.080134563717367	1.0223604240412296
24	1.1611267764758613	1.0251430651267224	1.1175990505947004	2.0766776830355145	1.200829842210093	1.0406000112132725	1.2806756548158287	1.0278640796340872	1.1092149301869256	1.3897026511504782	2.0386484391885578	1.0490141847697807
25	1.2028990586384027	0.8979959764344994	1.132865591828737	1.8323448766753516	1.197816863284755	1.1224673800202711	1.3554126769308223	1.08654730634229	1.070259724593919	1.4093375915972637	2.051385141945794	1.0495416316093302
26	1.1830307309605128	0.9670459061875185	1.1232624854531215	2.2515092088062323	1.2166963149210615	1.0683551511469362	1.355384783776856	1.0484942006736921	1.22205300580207	1.4254506439345265	2.0250826540993483	1.0526060062371192
